seed,canonical,matched,computer_ablation,canonical_minus_matched,canonical_minus_ablation
31001,0.6373976470680781,0.5980789266146843,0.6871681104532944,0.039318720453393796,-0.04977046338521629
31002,0.6253736466543297,0.61477107839131,0.6751311281305069,0.010602568263019752,-0.0497574814761772
31003,0.60362685371389,0.6108742534181393,0.6740111973120508,-0.007247399704249258,-0.07038434359816081
31004,0.6742092362777017,0.5995636520922513,0.6748974440173238,0.07464558418545042,-0.000688207739622082
31005,0.6123586195399523,0.593670783123873,0.6772841304516352,0.018687836416079295,-0.06492551091168286
31006,0.6251431065294523,0.5652999771126445,0.645081625755427,0.059843129416807805,-0.019938519225974782
31007,0.6419197667703392,0.568969227175189,0.6867512196139501,0.07295053959515019,-0.0448314528436109
31008,0.621120414015376,0.6064583228601943,0.6751811366836806,0.014662091155181689,-0.05406072266830464
31009,0.6669678136168019,0.6100048780551025,0.6811287773183996,0.0569629355616994,-0.014160963701597695
31010,0.629718137481167,0.5892096375666404,0.6704586446376969,0.04050849991452665,-0.04074050715652988
31011,0.6266414885511836,0.6016440628664009,0.6634560265159603,0.024997425684782693,-0.03681453796477663
31012,0.6235403861347528,0.596586869910375,0.666945235107174,0.026953516224377805,-0.04340484897242114
